,2,3,4,5,6,7,8,9,10,A
20,0.76,0.7,0.77,0.76,0.77,0.88,0.9,0.8,0.53,0.49
19,0.68,0.66,0.61,0.66,0.69,0.7,0.78,0.5,0.37,0.42
18,0.55,0.48,0.59,0.48,0.55,0.64,0.33,0.34,0.35,0.17
17,0.32,0.36,0.41,0.48,0.41,0.27,0.24,0.22,0.27,0.14
16,0.38,0.35,0.33,0.48,0.42,0.21000000000000002,0.26,0.18000000000000002,0.30000000000000004,0.14
15,0.27,0.37,0.45,0.42,0.41,0.26,0.33999999999999997,0.24,0.21,0.19
14,0.39,0.33,0.39,0.49,0.44,0.42000000000000004,0.31,0.29,0.22999999999999998,0.19
13,0.39,0.4,0.47,0.48,0.48,0.36000000000000004,0.24,0.30000000000000004,0.22999999999999998,0.24000000000000002
12,0.37,0.32999999999999996,0.4,0.41,0.44,0.41000000000000003,0.27,0.31000000000000005,0.33,0.2
11,0.6599999999999999,0.6000000000000001,0.66,0.67,0.64,0.52,0.53,0.55,0.51,0.31
10,0.63,0.5800000000000001,0.5800000000000001,0.63,0.6399999999999999,0.5700000000000001,0.53,0.45999999999999996,0.46,0.3
9,0.54,0.44,0.51,0.51,0.55,0.49,0.53,0.39999999999999997,0.35,0.27999999999999997
8,0.53,0.49,0.51,0.51,0.56,0.41,0.38,0.38,0.25,0.16
7,0.5,0.42000000000000004,0.35000000000000003,0.44,0.42000000000000004,0.43,0.32,0.32,0.2,0.18
6,0.4,0.37,0.44,0.43,0.49,0.35000000000000003,0.33,0.32,0.29000000000000004,0.16999999999999998
5,0.39,0.5,0.45,0.49,0.5700000000000001,0.39,0.38,0.26,0.3,0.25
4,0.38,0.44,0.51,0.39,0.43,0.43000000000000005,0.37,0.35,0.31,0.21000000000000002
3,0.46,0.47000000000000003,0.51,0.46,0.52,0.36000000000000004,0.31,0.31,0.30000000000000004,0.22
2,0.45,0.4,0.43,0.51,0.5,0.42,0.42000000000000004,0.30000000000000004,0.28,0.14
