,2,3,4,5,6,7,8,9,10,A
20,0.8099000000000001,0.7994,0.772,0.7645000000000001,0.7636,0.8255,0.8217000000000001,0.7838,0.44610000000000005,0.22110000000000002
19,0.6762,0.6528,0.6220000000000001,0.5833,0.5812999999999999,0.6894,0.638,0.3245,-0.005299999999999971,0.033899999999999986
18,0.5364,0.4799,0.43420000000000003,0.4071,0.4195,0.5033,0.17329999999999998,-0.14660000000000006,-0.21389999999999998,-0.21100000000000002
17,0.37370000000000003,0.3244,0.2669,0.21340000000000003,0.17050000000000004,0.019699999999999995,-0.296,-0.3569,-0.4183,-0.4285
16,0.1956,0.14789999999999998,0.0837,0.023399999999999976,-0.008500000000000008,-0.33999999999999997,-0.40464999999999995,-0.4614999999999999,-0.51465,-0.5354000000000001
15,0.02789999999999998,-0.05960000000000004,-0.10990000000000005,-0.11630000000000001,-0.11039999999999994,-0.3159,-0.35385,-0.4066000000000001,-0.47219999999999995,-0.49745
14,-0.18179999999999996,-0.23900000000000005,-0.2496,-0.21569999999999995,-0.19039999999999996,-0.2485,-0.304,-0.36150000000000004,-0.45115000000000005,-0.4564999999999999
13,-0.3644,-0.39940000000000003,-0.36610000000000004,-0.3265,-0.25370000000000004,-0.20534999999999998,-0.27065,-0.346,-0.4048,-0.4281000000000001
12,-0.04240000000000006,-0.06230000000000005,-0.4404,-0.37129999999999996,-0.2998,-0.14175000000000004,-0.19359999999999997,-0.2930499999999999,-0.34474999999999995,-0.36634999999999995
11,0.56,0.5402,0.5181,0.5125,0.5105500000000001,0.37829999999999997,0.33455,0.27304999999999996,0.18989999999999999,0.14385000000000003
10,0.43434999999999996,0.39944999999999997,0.3732500000000001,0.355,0.349,0.26034999999999997,0.18495,0.1229,0.023800000000000016,-0.026700000000000057
9,0.37765,0.18379999999999996,0.17819999999999997,0.197,0.22229999999999994,0.27055000000000007,0.17439999999999997,0.008600000000000024,-0.17015000000000002,-0.1744
8,0.29294999999999993,0.24845000000000006,0.2068,0.19725,0.17160000000000006,0.18505,0.024499999999999966,-0.14040000000000002,-0.23690000000000003,-0.24905
7,0.24050000000000002,0.19649999999999995,0.11729999999999999,0.09369999999999998,0.09995000000000001,0.029099999999999987,-0.12535000000000002,-0.21385000000000004,-0.28985,-0.3247
6,0.17669999999999997,0.10929999999999998,0.04605,0.061200000000000004,0.04005000000000003,-0.07079999999999995,-0.14970000000000003,-0.21545000000000009,-0.32205,-0.3188
5,0.13495,0.08155,0.004600000000000035,0.023299999999999987,0.03575000000000002,-0.039549999999999974,-0.11484999999999998,-0.1956,-0.26669999999999994,-0.31335
4,0.10484999999999997,0.038500000000000006,-0.03899999999999999,-0.015149999999999983,0.008099999999999996,0.019600000000000062,-0.07910000000000003,-0.16535,-0.25195,-0.29535000000000006
